population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,17,60-64 years,526,Digestive diseases,1,Number,2007,290.1629267062916,421.4503791658584,186.0191116690798
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,18,65-69 years,526,Digestive diseases,1,Number,2007,288.4720475982742,407.5324862364732,202.38843641754607
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,18,65-69 years,526,Digestive diseases,1,Number,2007,283.2447617211313,413.46854220362417,195.43080951262905
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,19,70-74 years,526,Digestive diseases,1,Number,2007,226.7091288314836,327.4096575257989,160.0677350252422
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,19,70-74 years,526,Digestive diseases,1,Number,2007,229.3805103140778,331.02528894457254,159.91407994184084
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,26,70+ years,526,Digestive diseases,1,Number,2007,563.2175425452458,778.4545454045009,412.5869559403509
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,26,70+ years,526,Digestive diseases,1,Number,2007,661.8419676484812,940.1006478544236,465.34738438314105
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,9,20-24 years,626,Musculoskeletal disorders,1,Number,2007,1923.1997672361435,2787.737817933169,1268.7953652482847
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,9,20-24 years,626,Musculoskeletal disorders,1,Number,2007,3028.079069499185,4368.498177378636,2000.1292399707984
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,10,25-29 years,626,Musculoskeletal disorders,1,Number,2007,4501.703359242452,6329.468690845197,2926.2263124273204
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,10,25-29 years,626,Musculoskeletal disorders,1,Number,2007,5024.530909606409,6970.764520151433,3498.6321441232385
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,11,30-34 years,626,Musculoskeletal disorders,1,Number,2007,3384.468341110004,4646.592200731751,2156.381124742683
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,11,30-34 years,626,Musculoskeletal disorders,1,Number,2007,5278.3880335203485,7251.627364595061,3509.5801341510387
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,12,35-39 years,626,Musculoskeletal disorders,1,Number,2007,4749.747775278393,6441.398388634054,3190.71209876819
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,12,35-39 years,626,Musculoskeletal disorders,1,Number,2007,4833.632684439417,6708.648524152667,3335.445672210618
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,13,40-44 years,626,Musculoskeletal disorders,1,Number,2007,4463.172926157832,6243.308727092252,2990.3350765063487
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,13,40-44 years,626,Musculoskeletal disorders,1,Number,2007,6535.557990757744,8960.163962052658,4316.443100728483
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,14,45-49 years,626,Musculoskeletal disorders,1,Number,2007,4918.878799193117,6958.053478804158,3303.4153224508173
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,14,45-49 years,626,Musculoskeletal disorders,1,Number,2007,6708.333783801479,9296.489789338691,4531.880741499774
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,15,50-54 years,626,Musculoskeletal disorders,1,Number,2007,4582.725444777079,6495.960496930496,3111.6565594338126
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,15,50-54 years,626,Musculoskeletal disorders,1,Number,2007,6868.76389466714,9828.19534651012,4576.812804697971
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,16,55-59 years,626,Musculoskeletal disorders,1,Number,2007,4077.041436214217,6105.57304710171,2770.4723138844006
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,16,55-59 years,626,Musculoskeletal disorders,1,Number,2007,6119.955796271252,9182.593299766108,4170.332752410886
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,17,60-64 years,626,Musculoskeletal disorders,1,Number,2007,2748.701451283588,4048.2740527250658,1863.0253127196163
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,17,60-64 years,626,Musculoskeletal disorders,1,Number,2007,4413.457983314052,6497.759745358293,2999.365993900365
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,18,65-69 years,626,Musculoskeletal disorders,1,Number,2007,2334.7506605341678,3375.09342253608,1625.6165653270675
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,18,65-69 years,626,Musculoskeletal disorders,1,Number,2007,4149.966021871574,6079.396452701019,2863.3155929992613
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,19,70-74 years,626,Musculoskeletal disorders,1,Number,2007,1755.415554132613,2669.034361449254,1188.740087235145
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,19,70-74 years,626,Musculoskeletal disorders,1,Number,2007,3244.1828620866204,4950.715671606558,2210.87641579244
